step,reward_mean,reward_std,kl,loss,n_scored,eval_reward,elapsed_s
110,3.6326,8.2676,0.01226,-0.0794,64,,1952
111,1.9360,3.9218,0.01177,-0.0470,64,,1969
112,1.5655,7.6786,0.01378,-0.0639,64,,1987
113,2.8434,5.4581,0.01616,-0.0374,64,,2004
114,-0.5880,7.0497,0.01303,-0.0779,64,,2021
115,3.9364,6.3602,0.01273,-0.0473,64,,2038
116,0.3752,7.9447,0.01125,-0.0790,64,,2055
117,5.7796,6.1771,0.00802,-0.0318,64,,2072
118,2.8110,5.4541,0.01779,-0.0923,64,,2089
119,4.5140,6.8253,0.01415,-0.0490,64,,2106
120,-0.2421,4.1698,0.01650,-0.0443,64,,2124
121,2.8924,6.9462,0.01331,-0.0033,64,,2141
122,4.5219,7.0301,0.01340,-0.0384,64,,2158
123,-0.6074,5.5292,0.01343,-0.0685,64,,2174
124,6.2506,4.8569,0.01087,-0.0797,64,,2191
125,3.1869,6.0210,0.00821,-0.0554,64,-2.9367,2220
126,1.4890,4.1882,0.01328,-0.0772,64,,2236
127,1.1389,7.8341,0.01330,-0.0380,64,,2253
128,3.6419,5.7522,0.01325,-0.0669,64,,2270
129,6.7377,5.6694,0.01255,-0.0293,64,,2288
130,3.2139,6.7806,0.01749,-0.0867,64,,2306
131,6.3895,7.4771,0.01774,-0.0266,64,,2324
132,5.1002,4.7086,0.01375,-0.0726,64,,2341
133,4.6726,8.5604,0.01327,-0.0052,64,,2359
134,4.5254,7.6128,0.01366,-0.0142,64,,2377
135,0.8198,5.7761,0.01953,-0.0101,64,,2394
136,3.7200,5.2584,0.01663,-0.0491,64,,2411
137,4.5563,6.8476,0.01821,-0.0763,64,,2428
138,1.9617,5.3556,0.01484,-0.0688,64,,2445
139,5.2897,6.0930,0.00986,-0.0164,64,,2463
140,3.4214,5.9242,0.01564,-0.0841,64,,2480
141,3.7073,5.1298,0.02202,-0.0900,64,,2498
142,6.1124,5.6605,0.01347,-0.0460,64,,2515
143,5.0621,4.7835,0.02109,-0.0197,64,,2531
144,6.1929,6.9505,0.01956,-0.0700,64,,2549
145,6.7890,5.5204,0.01694,-0.0210,64,,2565
146,4.3130,5.9389,0.01560,-0.0320,63,,2582
147,10.9022,7.0993,0.01802,-0.0453,64,,2602
148,1.5587,4.0886,0.01732,-0.0565,64,,2619
149,3.4939,3.6806,0.02111,-0.0761,64,,2637
150,8.2738,5.7538,0.01437,-0.0479,64,-3.0258,2668
151,3.9357,10.4393,0.01701,-0.0650,64,,2687
152,4.8596,5.6834,0.01888,-0.0492,64,,2702
153,6.0465,9.2162,0.01208,-0.0408,64,,2718
154,3.5583,7.1173,0.01891,-0.0314,64,,2733
155,5.7621,6.8663,0.02293,-0.0390,64,,2749
156,3.3675,5.7222,0.01523,-0.0638,64,,2764
157,4.6617,3.2004,0.02357,-0.0083,64,,2780
158,3.5756,5.3532,0.01740,-0.0418,64,,2797
159,8.4517,5.1916,0.02035,-0.0584,63,,2813
160,3.9660,5.9997,0.01897,-0.0177,64,,2829
161,3.8809,5.9949,0.01783,-0.0331,64,,2846
162,4.7089,4.5891,0.03067,-0.0520,64,,2865
163,3.3097,7.9662,0.02175,-0.0109,64,,2883
164,2.3090,5.4549,0.02221,-0.0166,64,,2900
165,2.7089,4.6796,0.02153,-0.0498,64,,2917
166,3.2328,9.5381,0.01898,-0.0107,64,,2934
167,7.0851,7.1199,0.01835,-0.0506,64,,2951
168,7.3762,7.7073,0.02242,-0.0272,64,,2968
169,1.3130,7.2005,0.02768,-0.0779,64,,2985
170,3.7485,7.5150,0.01964,-0.0379,64,,3002
171,7.7618,4.0795,0.01698,-0.0611,64,,3019
172,6.8770,7.3123,0.01924,-0.0233,64,,3036
173,-0.9631,4.1485,0.03206,-0.0186,64,,3052
174,2.6936,4.2208,0.01976,-0.0698,63,,3068
175,5.3904,7.3661,0.02305,-0.0408,64,-2.2032,3096
176,3.3839,5.5609,0.02175,-0.0490,64,,3111
177,3.3354,4.7066,0.01508,-0.0611,64,,3130
178,0.3727,3.3776,0.03367,-0.0404,64,,3146
179,6.4544,3.6188,0.02199,-0.0261,64,,3161
180,0.4617,7.4705,0.03218,-0.0800,64,,3177
181,3.4422,6.8926,0.02340,-0.0249,64,,3193
182,4.3890,7.2143,0.02176,-0.0513,64,,3209
183,2.6049,7.0479,0.03303,-0.0537,64,,3225
184,9.9010,5.3414,0.01654,-0.0200,64,,3241
185,1.1307,5.3610,0.01308,-0.0121,64,,3256
186,4.5757,8.4331,0.02298,-0.0666,64,,3272
187,5.6721,4.4531,0.01459,-0.0730,64,,3289
188,4.3691,7.6724,0.02386,-0.0921,64,,3307
189,4.6258,5.2930,0.02036,-0.0377,64,,3324
190,0.5947,7.6228,0.02493,-0.0222,64,,3341
191,6.0123,7.9008,0.02751,-0.0248,64,,3358
192,6.1163,5.2512,0.02089,-0.0307,64,,3375
193,7.6907,7.4511,0.02626,-0.0494,64,,3391
194,1.9067,6.5713,0.02388,-0.0282,64,,3408
195,3.8681,7.2073,0.02973,-0.0638,64,,3426
196,5.2061,6.2126,0.01446,-0.0246,64,,3443
197,-0.2234,6.5481,0.04186,-0.0969,64,,3460
198,4.0045,4.1339,0.02292,-0.0537,64,,3477
199,6.6854,5.6576,0.01767,-0.0219,64,,3494
200,4.9275,9.0070,0.02779,-0.0231,64,-1.7053,3524
201,4.5581,7.0136,0.02505,-0.0450,64,,3542
202,6.0469,5.5558,0.03119,-0.0201,64,,3559
203,2.7984,6.4658,0.01922,-0.0101,64,,3576
204,9.2926,7.1365,0.02203,-0.0369,64,,3592
